k,silhouette,davies_bouldin,calinski,inertia,sil_norm,cal_norm,db_norm,combined_score
4,0.41215407012967503,1.0534613476566852,184364.11053090752,307930.34438120265,0.0,0.0,0.04387721456025284,0.015357025096088493
5,0.458266666061711,1.0656160678855484,200000.36027523046,246758.1996847879,0.24619599417586757,0.19055815077835891,0.0,0.14611793536493678
6,0.471416751587692,0.9697649779891733,202807.62694738773,210507.0748174073,0.31640454162650844,0.22477016162080732,0.34601198201422356,0.30385855076078344
7,0.48367910131653563,0.9905379891093778,206491.48214231117,182356.20255521205,0.3818734513984583,0.2696651105477219,0.27102367715638476,0.3150239452010485
8,0.5435652609548662,0.9124083052716826,219499.47098092304,154943.79151453107,0.7016067544478872,0.42819278431626007,0.5530633158089229,0.581263058391343
9,0.5702172066215951,0.799278866007323,238369.26129185333,130516.54708989532,0.843901980459723,0.6581579234015957,0.9614482548465246,0.8386071622305717
10,0.5994544203502229,0.7885993896237103,266419.1141109417,107965.39631361741,1.0,1.0,1.0,1.0
