cluster,cluster_name,size,propensity_pension_avg,propensity_investment_avg,recommended_product,max_propensity
1,Jóvenes Exploradores,113727,0.018673252943614237,0.012061000551336607,pension,0.018673252943614237
2,Profesionales Dormidos,65422,0.04414484198707074,0.03316409340184077,pension,0.04414484198707074
3,Activos Multi-producto,82927,0.012766121564802266,0.010507186134388566,pension,0.012766121564802266
4,Universitarios Estándar,49068,0.01827257549231594,0.016039790717847755,pension,0.01827257549231594
5,Particulares Activos,86414,0.13094181207469566,0.10617454087550296,pension,0.13094181207469566
6,Alto Potencial Virgen,45351,0.03789542991740756,0.032835632663053275,pension,0.03789542991740756
