Cluster,N_Clientes,Segmento_Predominante,%_Predominante,%_Alto_Valor,Score_Promedio
Alto Valor Principal,44016,Low,86.07097419120319,12.393220647037442,0.13031960355301456
Valor Medio-Alto,43024,Low,89.18975455559688,8.641688359985125,0.10183525848862761
Emergentes Premium,33951,Low,94.08559394421371,4.874672321875644,0.05962736437491511
Alto Potencial Virgen,45079,Low,95.74524723263605,2.877171188358216,0.036005861403072915
Profesionales Dormidos,48706,Low,95.6719911304562,1.6363487044717284,0.04416380894462205
Universitarios Estándar,48435,Low,97.96015278207908,1.3585217301538144,0.01839397727849308
Jóvenes Activos Básicos,80925,Low,98.71733086190918,0.8118628359592215,0.011916121505289307
Inactivos Totales,79012,Low,99.70763934592213,0.21009466916417757,0.0039213977616032935
