cluster,cluster_name,recomendaciones
1,Jóvenes Exploradores,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
2,Profesionales Dormidos,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
3,Activos Multi-producto,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card
4,Universitarios Estándar,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card
5,Particulares Activos,Segmento premium sub-utilizado: up-sell
6,Alto Potencial Virgen,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
