,age,age,salary,salary,z_months_since_entry,z_months_since_entry,z_num_products,z_num_products,active_customer,active_customer,pension_plan,pension_plan,payment_card,payment_card,loan,loan,investment,investment
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
cluster,,,,,,,,,,,,,,,,,,
1,24.39,24.0,117464.0,87838.62,26.01,28.0,1.15,1.0,0.3,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0
2,40.79,39.0,103116.12,85069.38,24.64,23.0,0.29,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24.19,23.0,87696.78,78376.23,25.7,22.0,0.93,1.0,0.36,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.01,0.0
4,24.43,23.0,93313.43,81784.41,25.04,22.0,0.94,1.0,0.33,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.01,0.0
5,43.13,41.0,110097.59,89838.6,21.52,19.0,1.92,2.0,1.0,1.0,0.14,0.0,0.38,0.0,0.0,0.0,0.08,0.0
6,23.98,22.0,137691.58,125161.32,19.41,18.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
