cluster,cluster_name,size,propensity_pension_avg,propensity_investment_avg,recommended_product,max_propensity
1,Universitarios Estándar,49104,0.018393977278493078,0.016172581704732476,pension,0.018393977278493078
2,Inactivos Totales,79071,0.0039213977616032935,0.0015698662739658485,pension,0.0039213977616032935
3,Profesionales Dormidos,48934,0.04416380894462205,0.03496820800189485,pension,0.04416380894462205
4,Alto Valor Principal,52933,0.13031960355301456,0.1042894822617531,pension,0.13031960355301456
5,Jóvenes Activos Básicos,81893,0.011916121505289307,0.008100148962594582,pension,0.011916121505289307
6,Alto Potencial Virgen,45095,0.036005861403072915,0.028525651570460723,pension,0.036005861403072915
7,Valor Medio-Alto,47953,0.10183525848862765,0.07502986525317638,pension,0.10183525848862765
8,Emergentes Premium,37926,0.05962736437491511,0.054697541965811426,pension,0.05962736437491511
