cluster,cluster_name,recomendaciones
1,Universitarios Estándar,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card
2,Inactivos Totales,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
3,Profesionales Dormidos,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
4,Alto Valor Principal,Segmento premium sub-utilizado: up-sell
5,Jóvenes Activos Básicos,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card
6,Alto Potencial Virgen,Campaña de reactivación urgente; Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
7,Valor Medio-Alto,Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card
8,Emergentes Premium,Oportunidad cross-sell: Pension Plan; Oportunidad cross-sell: Payment Card; Segmento premium sub-utilizado: up-sell
