k,silhouette,davies_bouldin,calinski,inertia
4,0.41215407012967503,1.0534613476566852,184364.11053090752,307930.34438120265
5,0.458266666061711,1.0656160678855484,200000.36027523046,246758.1996847879
6,0.471416751587692,0.9697649779891733,202807.62694738773,210507.0748174073
7,0.48367910131653563,0.9905379891093778,206491.48214231117,182356.20255521205
8,0.5435652609548662,0.9124083052716826,219499.47098092304,154943.79151453107
9,0.5702172066215951,0.799278866007323,238369.26129185333,130516.54708989532
10,0.5994544203502229,0.7885993896237103,266419.1141109417,107965.39631361741
