Cluster,N_Clientes,N_Alto_Valor,%_Alto_Valor,Score_Promedio
Alto Valor Principal,44016,5455,12.393220647037442,0.13031960355301456
Valor Medio-Alto,43024,3718,8.641688359985125,0.10183525848862761
Emergentes Premium,33951,1655,4.874672321875644,0.05962736437491511
Alto Potencial Virgen,45079,1297,2.877171188358216,0.036005861403072915
Profesionales Dormidos,48706,797,1.6363487044717284,0.04416380894462205
Universitarios Estándar,48435,658,1.3585217301538144,0.01839397727849308
Jóvenes Activos Básicos,80925,657,0.8118628359592215,0.011916121505289307
Inactivos Totales,79012,166,0.21009466916417757,0.0039213977616032935
