Cluster,N_Clientes,N_Alto_Valor,%_Alto_Valor,Score_Promedio
Alto Valor Principal,48177,4278,8.879755900118314,0.1042894822617531
Valor Medio-Alto,44712,2546,5.6942207908391484,0.07502986525317637
Emergentes Premium,35893,1753,4.883960660853091,0.05469754196581143
Alto Potencial Virgen,45057,1214,2.6943649155514127,0.028525651570460723
Profesionales Dormidos,48094,1024,2.129163721046284,0.03496820800189485
Universitarios Estándar,48614,725,1.491339943226231,0.016172581704732476
Jóvenes Activos Básicos,81754,547,0.6690804119676101,0.008100148962594578
Inactivos Totales,79063,97,0.12268697114958957,0.0015698662739658485
