Cluster,N_Alto_Valor_Pension,%_Alto_Valor_Pension,Score_Pension,N_Alto_Valor_Investment,%_Alto_Valor_Investment,Score_Investment,%_Promedio
Alto Valor Principal,5455,12.393220647037442,0.1303196035530145,4278,8.879755900118314,0.1042894822617531,10.636488273577879
Valor Medio-Alto,3718,8.641688359985125,0.1018352584886276,2546,5.6942207908391484,0.0750298652531763,7.1679545754121365
Emergentes Premium,1655,4.874672321875644,0.0596273643749151,1753,4.883960660853091,0.0546975419658114,4.879316491364367
Alto Potencial Virgen,1297,2.877171188358216,0.0360058614030729,1214,2.6943649155514127,0.0285256515704607,2.7857680519548143
Profesionales Dormidos,797,1.6363487044717284,0.044163808944622,1024,2.129163721046284,0.0349682080018948,1.8827562127590063
Universitarios Estándar,658,1.3585217301538144,0.018393977278493,725,1.491339943226231,0.0161725817047324,1.4249308366900229
Jóvenes Activos Básicos,657,0.8118628359592215,0.0119161215052893,547,0.6690804119676101,0.0081001489625945,0.7404716239634158
Inactivos Totales,166,0.2100946691641775,0.0039213977616032,97,0.1226869711495895,0.0015698662739658,0.1663908201568835
